,Unnamed: 0,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source,lastLetter
227,227,Rajae Aboulaich,Rajae,Aboulaich,female,MA,Africa,1957,False,False,wikidata,e
229,229,Alouf Jirari,Alouf,Jirari,female,MA,Africa,1965,False,False,wikidata,f
230,230,Néfertiti Magahed,Néfertiti,Magahed,female,EG,Africa,1953,False,False,wikidata,i
231,231,Miriam Onuoha,Miriam,Onuoha,female,NG,Africa,1965,False,False,wikidata,m
233,233,Odile Sankara,Odile,Sankara,female,BF,Africa,1963,False,False,wikidata,e
234,234,Blessing Onuh,Blessing,Onuh,female,NG,Africa,1976,False,False,wikidata,g
235,235,Lee Visagie,Lee,Visagie,female,ZA,Africa,1992,False,False,wikidata,e
236,236,Khanya Mkangisa,Khanya,Mkangisa,female,ZA,Africa,1988,False,False,wikidata,a
237,237,Soso Rungqu,Soso,Rungqu,female,ZA,Africa,1983,False,False,wikidata,o
238,238,Michelle Beling,Michelle,Beling,female,ZA,Africa,1988,False,False,wikidata,e
240,240,Tolulope Akande-Sadipe,Tolulope,Akande-Sadipe,female,NG,Africa,1966,False,False,wikidata,e
241,241,Ogunlola Olubunmi,Ogunlola,Olubunmi,female,NG,Africa,1965,False,False,wikidata,a
242,242,Farida Arman,Farida,Arman,female,EG,Africa,1938,False,False,wikidata,a
243,243,Hanan al-Barassi,Hanan,al-Barassi,female,LY,Africa,1973,False,False,wikidata,n
245,245,Ishtar Lakhani,Ishtar,Lakhani,female,ZA,Africa,1985,False,False,wikidata,r
246,246,Uyaiedu Ikpe-Etim,Uyaiedu,Ikpe-Etim,female,NG,Africa,1989,False,False,wikidata,u
247,247,Ubah Ali,Ubah,Ali,female,,,1996,False,False,wikidata,h
250,250,Fanja Rakotondrajao,Fanja,Rakotondrajao,female,MG,Africa,1969,False,False,wikidata,a
251,251,Melissa Reddy,Melissa,Reddy,female,ZA,Africa,1986,False,False,wikidata,a
252,252,Aïssata Moumouni,Aïssata,Moumouni,female,NG,Africa,1939,False,False,wikidata,a
253,253,Nadeen Ashraf,Nadeen,Ashraf,female,EG,Africa,1998,False,False,wikidata,n
254,254,Jemimah Kariuki,Jemimah,Kariuki,female,KE,Africa,2000,False,False,wikidata,h
255,255,Michaella Russell,Michaella,Russell,female,ZA,Africa,1992,False,False,wikidata,a
258,258,Gosette Lubondo,Gosette,Lubondo,female,,,1993,False,False,wikidata,e
260,260,Malaika Uwamahoro,Malaika,Uwamahoro,female,RW,Africa,1990,False,False,wikidata,a
261,261,Maryem Amkadni,Maryem,Amkadni,female,MA,Africa,1975,False,False,wikidata,m
262,262,Hasnaa Zidani,Hasnaa,Zidani,female,MA,Africa,1971,False,False,wikidata,a
263,263,Judy Ditchfield,Judy,Ditchfield,female,ZA,Africa,1963,False,False,wikidata,y
264,264,Noluthando Meje,Noluthando,Meje,female,ZA,Africa,1986,False,False,wikidata,o
265,265,Lynne McCarthy,Lynne,McCarthy,female,ZA,Africa,1983,False,False,wikidata,e
266,266,Keria Ibrahim,Keria,Ibrahim,female,ET,Africa,1973,False,False,wikidata,a
267,267,Charlotte Ntamack,Charlotte,Ntamack,female,CM,Africa,1979,False,False,wikidata,e
268,268,Fikile Mthwalo,Fikile,Mthwalo,female,LS,Africa,1989,False,False,wikidata,e
270,270,Isma Kaddouri,Isma,Kaddouri,female,DZ,Africa,1987,False,False,wikidata,a
271,271,Edith Nzuruike,Edith,Nzuruike,female,NG,Africa,1995,False,False,wikidata,h
272,272,Ratiba Derfoul,Ratiba,Derfoul,female,DZ,Africa,1983,False,False,wikidata,a
273,273,Dominique Donner,Dominique,Donner,female,ZA,Africa,1971,False,False,wikidata,e
274,274,Cindy Schwulst,Cindy,Schwulst,female,ZA,Africa,1991,False,False,wikidata,y
275,275,Cindy Swanepoel,Cindy,Swanepoel,female,ZA,Africa,1981,False,False,wikidata,y
276,276,Nobuhle Mahlasela,Nobuhle,Mahlasela,female,ZA,Africa,1982,False,False,wikidata,e
277,277,Nejla Nouaili,Nejla,Nouaili,female,TN,Africa,1980,False,False,wikidata,a
279,279,Fatma Ayadi,Fatma,Ayadi,female,TN,Africa,1979,False,False,wikidata,a
280,280,Retha Heymann,Retha,Heymann,female,ZA,Africa,2000,False,False,wikidata,a
281,281,Boutheina Hafassa,Boutheina,Hafassa,female,TN,Africa,1986,False,False,wikidata,a
282,282,Marwa Dridi,Marwa,Dridi,female,TN,Africa,1986,False,False,wikidata,a
283,283,Houda Barkouki,Houda,Barkouki,female,MA,Africa,1989,False,False,wikidata,a
284,284,Dama Bete,Dama,Bete,female,MZ,Africa,1984,False,False,wikidata,a
285,285,Rebecca Kadaga,Rebecca,Kadaga,female,UG,Africa,1956,False,False,wikidata,a
286,286,Dulce Braga,Dulce,Braga,female,AO,Africa,1958,False,False,wikidata,e
287,287,Elisa Cossa,Elisa,Cossa,female,MZ,Africa,1980,False,False,wikidata,a
288,288,Hélène Diarra,Hélène,Diarra,female,ML,Africa,1955,False,False,wikidata,e
289,289,Eva Nill,Eva,Nill,female,EG,Africa,1909,False,False,wikidata,a
290,290,Lindiwe Chibi,Lindiwe,Chibi,female,ZA,Africa,1976,False,False,wikidata,e
291,291,Precious Simelane,Precious,Simelane,female,ZA,Africa,1977,False,False,wikidata,s
292,292,Chantel Clifton-Parks,Chantel,Clifton-Parks,female,ZA,Africa,2000,False,False,wikidata,l
293,293,Muriel Blanche,Muriel,Blanche,female,CM,Africa,1990,False,False,wikidata,l
294,294,Janice Acquah,Janice,Acquah,female,GH,Africa,1967,False,False,wikidata,e
295,295,Gugu Dlamini,Gugu,Dlamini,female,ZA,Africa,1962,False,False,wikidata,u
296,296,Khalifa Es-Sebaiy,Khalifa,Es-Sebaiy,female,MA,Africa,1977,False,False,wikidata,a
298,298,Malika Agueznay,Malika,Agueznay,female,MA,Africa,1934,False,False,wikidata,a
299,299,Camilla George,Camilla,George,female,NG,Africa,1988,False,False,wikidata,a
300,300,Asma Guesmi,Asma,Guesmi,female,DZ,Africa,1988,False,False,wikidata,a
301,301,Desiree Edwards,Desiree,Edwards,female,ZA,Africa,2000,False,False,wikidata,e
302,302,Valerie Bridgens,Valerie,Bridgens,female,ZA,Africa,2000,False,False,wikidata,e
303,303,Donna Caldwell,Donna,Caldwell,female,ZA,Africa,2000,False,False,wikidata,a
304,304,Renee Aucamp,Renee,Aucamp,female,ZA,Africa,2000,False,False,wikidata,e
306,306,Isabel Ferreira,Isabel,Ferreira,female,AO,Africa,1960,False,False,wikidata,l
307,307,Soufia Benhida,Soufia,Benhida,female,MA,Africa,1989,False,False,wikidata,a
308,308,Naomi Beukes-Meyer,Naomi,Beukes-Meyer,female,,Africa,1965,False,False,wikidata,i
309,309,Marwa Khalil,Marwa,Khalil,female,TN,Africa,1988,False,False,wikidata,a
310,310,Chiamaka Okoli,Chiamaka,Okoli,female,NG,Africa,1987,False,False,wikidata,a
311,311,Bouthaina Abdelhedi,Bouthaina,Abdelhedi,female,TN,Africa,1977,False,False,wikidata,a
313,313,Aicha Driouch,Aicha,Driouch,female,MA,Africa,1991,False,False,wikidata,a
314,314,Mel Gambôa,Mel,Gambôa,female,AO,Africa,1984,False,False,wikidata,l
315,315,Nancy Vieira,Nancy,Vieira,female,,,1975,False,False,wikidata,y
316,316,Nayma Mingas,Nayma,Mingas,female,AO,Africa,1974,False,False,wikidata,a
317,317,Odete Semedo,Odete,Semedo,female,GW,Africa,1959,False,False,wikidata,e
320,320,Rachel Muyal,Rachel,Muyal,female,MA,Africa,1933,False,False,wikidata,l
321,321,Aisha Jawara,Aisha,Jawara,female,GM,Africa,1988,False,False,wikidata,a
322,322,Sita Valles,Sita,Valles,female,AO,Africa,1951,False,False,wikidata,a
325,325,Cesária Évora,Cesária,Évora,female,,,1941,False,False,wikidata,a
326,326,Taciana Lima,Taciana,Lima,female,GW,Africa,1983,False,False,wikidata,a
328,328,Sibonisiwe Sithole,Sibonisiwe,Sithole,female,ZW,Africa,1982,False,False,wikidata,e
329,329,Precious Mustapha,Precious,Mustapha,female,NG,Africa,1997,False,False,wikidata,s
330,330,Titina Rodriguês,Titina,Rodriguês,female,,,1947,False,False,wikidata,a
331,331,Ghada Maatouk,Ghada,Maatouk,female,TN,Africa,1998,False,False,wikidata,a
332,332,Penda Diakité,Penda,Diakité,female,ML,Africa,1992,False,False,wikidata,a
333,333,Vera Okolo,Vera,Okolo,female,NG,Africa,1985,False,False,wikidata,a
335,335,Mulu Gebreegziabher,Mulu,Gebreegziabher,female,ET,Africa,1962,False,False,wikidata,u
336,336,Zaida Chongo,Zaida,Chongo,female,MZ,Africa,1970,False,False,wikidata,a
337,337,Fatoumata Ka,Fatoumata,Ka,female,SN,Africa,1950,False,False,wikidata,a
338,338,Mantoulaye Guene,Mantoulaye,Guene,female,SN,Africa,1939,False,False,wikidata,e
339,339,Érica Chissapa,Érica,Chissapa,female,AO,Africa,1988,False,False,wikidata,a
340,340,Imaan Sulaiman-Ibrahim,Imaan,Sulaiman-Ibrahim,female,NG,Africa,1980,False,False,wikidata,n
341,341,Fadima Diawara,Fadima,Diawara,female,GN,Africa,1986,False,False,wikidata,a
343,343,Josephine Effah-Chukwuma,Josephine,Effah-Chukwuma,female,NG,Africa,1966,False,False,wikidata,e
344,344,Ophelia Hayford,Ophelia,Hayford,female,GH,Africa,1973,False,False,wikidata,a
345,345,Sheila Bartels,Sheila,Bartels,female,GH,Africa,1975,False,False,wikidata,a
346,346,Hirut Woldemariam,Hirut,Woldemariam,female,ET,Africa,1969,False,False,wikidata,t
347,347,Chioma Mang,Chioma,Mang,female,NG,Africa,1961,False,False,wikidata,a
350,350,Fatim Cissé,Fatim,Cissé,female,,,1983,False,False,wikidata,m
351,351,Rasha Samir,Rasha,Samir,female,EG,Africa,1969,False,False,wikidata,a
353,353,Natasha Joubert,Natasha,Joubert,female,ZA,Africa,1997,False,False,wikidata,a
355,355,Mercy Kainobwisho,Mercy,Kainobwisho,female,UG,Africa,1979,False,False,wikidata,y
356,356,Radwa Sayed,Radwa,Sayed,female,EG,Africa,1997,False,False,wikidata,a
357,357,Dina Salústio,Dina,Salústio,female,,,1941,False,False,wikidata,a
358,358,Souad Labbize,Souad,Labbize,female,DZ,Africa,1965,False,False,wikidata,d
359,359,Faith Mazibuko,Faith,Mazibuko,female,ZA,Africa,1965,False,False,wikidata,h
360,360,Leila Beratto,Leila,Beratto,female,DZ,Africa,1980,False,False,wikidata,a
361,361,Victoire Agbanrin-Elisha,Victoire,Agbanrin-Elisha,female,BJ,Africa,1944,False,False,wikidata,e
362,362,Dawn Lindberg,Dawn,Lindberg,female,ZA,Africa,1945,False,False,wikidata,n
363,363,Honorine Ngou,Honorine,Ngou,female,GA,Africa,1957,False,False,wikidata,e
364,364,Mireille Tchengang,Mireille,Tchengang,female,CM,Africa,2002,False,False,wikidata,e
366,366,Ndeutala Angolo,Ndeutala,Angolo,female,,Africa,1952,False,False,wikidata,a
367,367,Jane Karuku,Jane,Karuku,female,KE,Africa,1961,False,False,wikidata,e
368,368,Zahia Benarous,Zahia,Benarous,female,DZ,Africa,1958,False,False,wikidata,a
369,369,Inviolata Mbwavi,Inviolata,Mbwavi,female,KE,Africa,1972,False,False,wikidata,a
371,371,Sophy Aiida,Sophy,Aiida,female,CM,Africa,1987,False,False,wikidata,y
372,372,Yolanda Dreyer,Yolanda,Dreyer,female,ZA,Africa,1956,False,False,wikidata,a
373,373,Berhane Ras-Work,Berhane,Ras-Work,female,ET,Africa,1940,False,False,wikidata,e
374,374,Beauty Ngxongo,Beauty,Ngxongo,female,ZA,Africa,1953,False,False,wikidata,y
375,375,Fatiha Targhaoui,Fatiha,Targhaoui,female,MA,Africa,1966,False,False,wikidata,a
